areaCode,areaName,areaType,date,cumCasesByPublishDate,cumDeaths28DaysByDeathDate,cumPeopleVaccinatedFirstDoseByPublishDate,newVirusTestsByPublishDate
K02000001,United Kingdom,overview,30/11/2021,10228772,146134,50994257,1001214
K02000001,United Kingdom,overview,29/11/2021,10189059,146038,50963718,1014359
K02000001,United Kingdom,overview,28/11/2021,10146915,145914,50941327,1019456
K02000001,United Kingdom,overview,27/11/2021,10110408,145796,50919834,727062
K02000001,United Kingdom,overview,26/11/2021,10070841,145689,50896026,885688
K02000001,United Kingdom,overview,25/11/2021,10021497,145557,50875712,1048739
K02000001,United Kingdom,overview,24/11/2021,9974843,145420,50852133,1083684
K02000001,United Kingdom,overview,23/11/2021,9932408,145304,50827554,910710
K02000001,United Kingdom,overview,22/11/2021,9889926,145161,50800732,979922
K02000001,United Kingdom,overview,21/11/2021,9845492,145042,50777474,1013013
K02000001,United Kingdom,overview,20/11/2021,9806034,144936,50761050,717721
K02000001,United Kingdom,overview,19/11/2021,9766153,144806,50735037,865460
K02000001,United Kingdom,overview,18/11/2021,9721916,144682,50707953,993405
K02000001,United Kingdom,overview,17/11/2021,9675058,144546,50679073,1043488
K02000001,United Kingdom,overview,16/11/2021,9637190,144420,50645981,807598
K02000001,United Kingdom,overview,15/11/2021,9600369,144267,50614550,916832
K02000001,United Kingdom,overview,14/11/2021,9561099,144093,50582504,918544
K02000001,United Kingdom,overview,13/11/2021,9524971,143967,50559566,667791
K02000001,United Kingdom,overview,12/11/2021,9487302,143831,50526039,830535
K02000001,United Kingdom,overview,11/11/2021,9448402,143682,50491701,980626
K02000001,United Kingdom,overview,10/11/2021,9406001,143539,50455318,1024023
K02000001,United Kingdom,overview,09/11/2021,9366676,143391,50336130,851560
K02000001,United Kingdom,overview,08/11/2021,9333891,143242,50296294,920068
K02000001,United Kingdom,overview,07/11/2021,9301909,143087,50262735,869016
K02000001,United Kingdom,overview,06/11/2021,9272066,142919,50236895,649990
K02000001,United Kingdom,overview,05/11/2021,9241916,142750,50200147,831151
K02000001,United Kingdom,overview,04/11/2021,9208219,142592,50156656,914955
K02000001,United Kingdom,overview,03/11/2021,9171660,142436,50112925,1020990
K02000001,United Kingdom,overview,02/11/2021,9130857,142271,50071683,868999
